Date,Potential Churn,Predict Churn Sub,EOP,Predict Churn Rate
1-Jun-2026,"21,953","24,008","489,333",4.91%
2-Jun-2026,"19,754","22,342","489,333",4.57%
3-Jun-2026,"18,312","21,348","489,333",4.36%
4-Jun-2026,"17,105","20,619","489,406",4.21%
5-Jun-2026,,,"489,406",
6-Jun-2026,,,"489,406",
7-Jun-2026,"15,264","19,274","491,225",3.92%
8-Jun-2026,"14,454","18,985","491,225",3.86%
9-Jun-2026,"13,682","18,679","491,225",3.80%
10-Jun-2026,"12,938","18,379","491,579",3.74%
11-Jun-2026,"12,207","18,154","491,839",3.69%
12-Jun-2026,,,"491,986",
13-Jun-2026,,,"491,986",
14-Jun-2026,"10,268","17,688","491,986",3.60%
15-Jun-2026,"9,604","17,559","491,986",3.57%
16-Jun-2026,"9,013","17,538","491,986",3.56%
17-Jun-2026,"8,486","17,337","492,769",3.52%
18-Jun-2026,"7,902","17,273","492,769",3.51%
19-Jun-2026,,,"493,078",
20-Jun-2026,,,"493,078",
21-Jun-2026,"6,336","17,049","494,084",3.45%
22-Jun-2026,"5,828","17,008","494,084",3.44%
23-Jun-2026,"5,224","16,956","494,136",3.43%
24-Jun-2026,"4,686","16,910","494,090",3.42%
25-Jun-2026,,,"494,090",
26-Jun-2026,,,"494,514",
27-Jun-2026,,,"494,514",
28-Jun-2026,"1,076","16,705","494,514",3.38%
29-Jun-2026,,,,
30-Jun-2026,,,,
