Date,Potential Churn,Predict Churn Sub,EOP,Predict Churn Rate
1-Jan,"20,714","18,179","449,800",4.24%
2-Jan,,,,
3-Jan,,,,
4-Jan,"13,902","16,914","449,800",3.76%
5-Jan,"12,916","16,269","449,575",3.62%
6-Jan,"12,527","15,891","450,063",3.53%
7-Jan,"12,222","15,618","450,648",3.47%
8-Jan,"11,591","15,391","451,401",3.41%
9-Jan,,,,
10-Jan,,,,
11-Jan,"9,979","14,886","451,831",3.29%
12-Jan,"9,455","14,735","453,164",3.25%
13-Jan,"8,966","14,618","453,494",3.22%
14-Jan,"8,523","14,549","453,884",3.21%
15-Jan,,,,
16-Jan,,,,
17-Jan,,,,
18-Jan,"6,721","14,192","454,176",3.12%
19-Jan,"6,312","14,138","455,313",3.11%
20-Jan,"5,850","14,048","455,660",3.08%
21-Jan,"5,427","13,969","455,982",3.06%
22-Jan,"5,021","13,910","456,335",3.05%
23-Jan,,,,
24-Jan,,,,
25-Jan,"4,116","13,744","456,335",3.01%
26-Jan,"3,171","13,718","457,866",3.00%
27-Jan,"1,610","13,707","457,635",3.00%
28-Jan,"1,221","13,630","456,844",2.98%
29-Jan,803,"13,571","457,969",2.96%
30-Jan,,,,
31-Jan,,"13,495","459,419",2.94%
