Date,Potential Churn,Predict Churn Sub,EOP,Predict Churn Rate
1-Apr,"20,036","21,992","472,945",4.65%
2-Apr,,,"472,945",
3-Apr,,,"473,252",
4-Apr,,,"473,252",
5-Apr,"14,653","18,109","473,252",3.83%
6-Apr,"13,705","17,563","474,496",3.71%
7-Apr,"12,871","17,125","474,496",3.61%
8-Apr,"12,092","16,743","475,058",3.52%
9-Apr,"11,416","16,497","475,473",3.47%
10-Apr,,,"475,746",
11-Apr,,,"475,746",
12-Apr,"10,047","15,788","476,750",3.32%
13-Apr,"9,083","15,561","476,750",3.26%
14-Apr,"8,525","15,388","476,750",3.23%
15-Apr,"7,980","15,238","477,509",3.20%
16-Apr,"7,494","15,089","477,962",3.16%
17-Apr,,,"478,228",
18-Apr,,,"478,228",
19-Apr,"6,049","14,786","478,228",3.09%
20-Apr,"5,542","14,682","478,228",3.07%
21-Apr,"5,085","14,612","478,228",3.06%
22-Apr,"4,639","14,529","479,790",3.03%
23-Apr,"4,199","14,493","480,101",3.02%
24-Apr,,,"480,333",
25-Apr,"3,290","14,311","480,333",2.98%
26-Apr,,,,
27-Apr,,,,
28-Apr,,,,
29-Apr,,,,
30-Apr,,,,
