Date,Potential Churn,Predict Churn Sub,EOP,Predict Churn Rate
1-Feb,"14,251","15,941","459,419",3.47%
2-Feb,"13,252","15,408","459,419",3.35%
3-Feb,"12,432","14,987","459,419",3.26%
4-Feb,"11,763","14,656","459,278",3.19%
5-Feb,"11,513","14,422","459,726",3.14%
6-Feb,,,,
7-Feb,,,,
8-Feb,"10,666","13,968","460,271",3.03%
9-Feb,"10,147","13,865","462,354",3.00%
10-Feb,"9,595","13,699","462,871",2.96%
11-Feb,"9,003","13,535","463,009",2.92%
12-Feb,"8,477","13,434","463,325",2.90%
13-Feb,,,,
14-Feb,,,,
15-Feb,"6,952","13,124","463,325",2.83%
16-Feb,,,,
17-Feb,"5,981","12,971","464,332",2.79%
18-Feb,"5,514","12,917","464,793",2.78%
19-Feb,"5,043","12,859","465,107",2.76%
20-Feb,,,,
21-Feb,,,,
22-Feb,"3,731","12,762","465,452",2.74%
23-Feb,,,,
24-Feb,"2,809","12,746","466,717",2.73%
25-Feb,"2,337","12,731","466,717",2.73%
26-Feb,"1,841","12,723","466,791",2.73%
27-Feb,,,,
28-Feb,,"12,658","466,790",2.71%
