Date,Potential Churn,Predict Churn Sub,EOP,Predict Churn Rate
1-Jul-2026,"29,826","31,619","494,499",6.39%
2-Jul-2026,"26,519","28,929","494,499",5.85%
3-Jul-2026,,,"494,499",
4-Jul-2026,,,"494,499",
5-Jul-2026,"20,607","24,817","494,499",5.02%
6-Jul-2026,"19,834","24,074","494,499",4.87%
7-Jul-2026,"19,225","24,104","496,034",4.86%
8-Jul-2026,"18,658","22,960","496,888",4.62%
9-Jul-2026,"17,698","22,567","496,888",4.54%
10-Jul-2026,,,"496,888",
11-Jul-2026,,,"497,516",
12-Jul-2026,"14,929","21,576","497,516",4.34%
13-Jul-2026,"14,056","21,291","498,054",4.27%
14-Jul-2026,"13,179","21,066","498,143",4.23%
15-Jul-2026,"12,363","20,838","498,272",4.18%
16-Jul-2026,"11,579","20,688","498,272",4.15%
17-Jul-2026,,,"498,272",
18-Jul-2026,,,"498,272",
19-Jul-2026,"9,515","20,354","498,272",4.08%
20-Jul-2026,"8,831","20,285","498,272",4.07%
21-Jul-2026,"8,097","20,215","498,272",4.06%
22-Jul-2026,"7,400","20,117","499,380",4.03%
23-Jul-2026,"6,775","20,059","499,380",4.02%
24-Jul-2026,,,"499,380",
25-Jul-2026,,,"499,380",
26-Jul-2026,"4,678","19,894","499,663",3.98%
27-Jul-2026,"3,258","19,856","499,633",3.97%
28-Jul-2026,"1,748","19,815","499,633",3.97%
29-Jul-2026,"1,217","19,813","498,443",3.97%
30-Jul-2026,627,"19,812","498,443",3.97%
31-Jul-2026,,"19,807","499,205",3.97%
