Date,Potential Churn,Predict Churn Sub,EOP,Predict Churn Rate
1-Mar,"19,630","21,636","466,790",4.64%
2-Mar,"16,070","18,466","466,790",3.96%
3-Mar,"14,663","17,513","466,790",3.75%
4-Mar,"13,687","16,941","468,155",3.62%
5-Mar,"12,850","16,529","468,436",3.53%
6-Mar,,,,
7-Mar,,,,
8-Mar,"11,311","15,748","468,998",3.36%
9-Mar,"10,974","15,389","468,998",3.28%
10-Mar,"10,791","15,215","471,212",3.23%
11-Mar,"10,148","15,047","471,212",3.19%
12-Mar,"9,569","14,877","471,522",3.16%
13-Mar,,,,
14-Mar,,,,
15-Mar,"7,976","14,428","472,375",3.05%
16-Mar,"7,474","14,338","472,375",3.04%
17-Mar,"6,968","14,246","472,818",3.01%
18-Mar,,,,
19-Mar,,,,
20-Mar,,,,
21-Mar,,,,
22-Mar,,,,
23-Mar,,,,
24-Mar,"3,904","13,863","471,932",2.94%
25-Mar,"3,457","13,800","471,861",2.92%
26-Mar,"3,008","13,753","471,913",2.91%
27-Mar,,,,
28-Mar,,,,
29-Mar,"1,481","13,562","471,913",2.87%
30-Mar,304,"13,524","472,836",2.86%
31-Mar,,"13,469","472,945",2.85%
